collection_num,longitude,latitude,date_collected,id,species,state,locality,source,jar_num,county,connor_notes,lab,alt_m,notes
27457,-49.06635,-24.67925,NA,dis_7,distincta,PR,Estrada para Cerro Azul (P2),celio,13113,Adrianópolis,NA,NA,NA,NA
27458,-49.06635,-24.67925,NA,dis_8,distincta,PR,Estrada para Cerro Azul (P2),celio,13114,Adrianópolis,NA,NA,NA,NA
32700,-46.92180556,-24.23455556,NA,dis_9,distincta,SP,NA,celio,16477,Itanhaén,NA,NA,NA,NA
32701,-46.93025,-24.24638889,NA,dis_10,distincta,SP,NA,celio,17568,Itanhaém,NA,NA,NA,NA
30974,-47.67852778,-24.32802778,NA,dis_11,distincta,SP,"Poça na estrada para o pesqueiro, Belo Vale (Itapoava)",celio,15197,Juquiá,NA,NA,NA,NA
30975,-47.67852778,-24.32802778,NA,dis_12,distincta,SP,"Poça na estrada para o pesqueiro, Belo Vale (Itapoava)",celio,15198,Juquiá,NA,NA,NA,NA
30976,-47.67852778,-24.32802778,NA,dis_13,distincta,SP,"Poça na estrada para o pesqueiro, Belo Vale (Itapoava)",celio,15199,Juquiá,NA,NA,NA,NA
30977,-47.67852778,-24.32802778,NA,dis_14,distincta,SP,"Poça na estrada para o pesqueiro, Belo Vale (Itapoava)",celio,15200,Juquiá,NA,NA,NA,NA
30978,-47.67852778,-24.32802778,NA,dis_15,distincta,SP,"Poça na estrada para o pesqueiro, Belo Vale (Itapoava)",celio,15201,Juquiá,NA,NA,NA,NA
30983,-47.68830556,-24.33530556,NA,dis_16,distincta,SP,Pesqueiro Belo Vale (Represa 7 e 8),celio,15206,Juquiá,NA,NA,NA,NA
30984,-47.68830556,-24.33530556,NA,dis_17,distincta,SP,Pesqueiro Belo Vale (Represa 7 e 8),celio,15207,Juquiá,NA,NA,NA,NA
30985,-47.68830556,-24.33530556,NA,dis_18,distincta,SP,Pesqueiro Belo Vale (Represa 7 e 8),celio,15208,Juquiá,NA,NA,NA,NA
31060,-48.74022222,-24.35916667,NA,dis_19,distincta,SP,Fazenda do Mathedi e do João Zachaeo; proximo lavoura tomate,celio,15282,Ribeirão Branco,NA,NA,NA,NA
30988,-48.08044444,-24.53372222,NA,dis_20,distincta,SP,Poça temporária na pousada Encontro das águas,celio,15210,Eldorado,NA,NA,NA,NA
30989,-48.08044444,-24.53372222,NA,dis_21,distincta,SP,Poça temporária na pousada Encontro das águas,celio,15211,Eldorado,NA,NA,NA,NA
30990,-48.08044444,-24.53372222,NA,dis_22,distincta,SP,Poça temporária na pousada Encontro das águas,celio,15212,Eldorado,NA,NA,NA,NA
30991,-48.08044444,-24.53372222,NA,dis_23,distincta,SP,Poça temporária na pousada Encontro das águas,celio,15213,Eldorado,NA,NA,NA,NA
30992,-48.08044444,-24.53372222,NA,dis_24,distincta,SP,Poça temporária na pousada Encontro das águas,celio,15214,Eldorado,NA,NA,NA,NA
38573,-47.12053333,-24.39743333,NA,dis_27,distincta,SP,Estação Ecológica de Juréia Itatins,celio,19188,Peruíbe,NA,NA,NA,NA
31049,-49.04441667,-25.44222222,NA,dis_28,distincta,PR,Brejo na estrada da casa do Sr. Airton,celio,15271,Piraquara,NA,NA,NA,NA
31050,-49.04441667,-25.44222222,NA,dis_29,distincta,PR,Brejo na estrada da casa do Sr. Airton,celio,15272,Piraquara,NA,NA,NA,NA
31022,-48.88875,-25.98077778,NA,dis_30,distincta,SC,Poça atrás do posto da divisa,celio,15244,Garuva,NA,NA,NA,NA
31023,-48.88875,-25.98077778,NA,dis_31,distincta,SC,Poça atrás do posto da divisa,celio,15245,Garuva,NA,NA,NA,NA
31024,-48.88875,-25.98077778,NA,dis_32,distincta,SC,Poça atrás do posto da divisa,celio,15246,Garuva,NA,NA,NA,NA
31025,-48.88875,-25.98077778,NA,dis_33,distincta,SC,Poça atrás do posto da divisa,celio,15247,Garuva,NA,NA,NA,NA
31026,-48.88875,-25.98077778,NA,dis_34,distincta,SC,Poça atrás do posto da divisa,celio,15248,Garuva,NA,NA,NA,NA
31027,-48.88875,-25.98077778,NA,dis_35,distincta,SC,Poça atrás do posto da divisa,celio,15249,Garuva,NA,NA,NA,NA
31028,-48.88875,-25.98077778,NA,dis_36,distincta,SC,Poça atrás do posto da divisa,celio,15250,Garuva,NA,NA,NA,NA
31036,-48.88875,-25.98077778,NA,dis_37,distincta,SC,Poça atrás do posto da divisa,celio,15258,Garuva,NA,NA,NA,NA
27477,-49.00327,-26.50997,NA,dis_38,distincta,SC,"Estrada entre Guaramirim e Jaraguá do Sul (Casa do Sr. Miro/Secretário de Agricultura), poça",celio,13133,Guaramirim,NA,NA,NA,NA
27501,-49.25941,-26.80752,NA,dis_39,distincta,SC,Brejo atrás da casa do Sr. Eduardo,celio,13157,Timbó,NA,NA,NA,NA
27502,-49.25941,-26.80752,NA,dis_40,distincta,SC,Brejo atrás da casa do Sr. Eduardo,celio,13158,Timbó,NA,NA,NA,NA
27503,-49.25941,-26.80752,NA,dis_41,distincta,SC,Brejo atrás da casa do Sr. Eduardo,celio,13159,Timbó,NA,NA,NA,NA
27504,-49.25941,-26.80752,NA,dis_42,distincta,SC,Brejo atrás da casa do Sr. Eduardo,celio,13160,Timbó,NA,NA,NA,NA
27505,-49.25941,-26.80752,NA,dis_43,distincta,SC,Brejo atrás da casa do Sr. Eduardo,celio,13161,Timbó,NA,NA,NA,NA
27519,-49.09114,-27.02897,NA,dis_45,distincta,SC,"Poça ao lado do cemitério, Nova Rússia",celio,13175,Blumenau,NA,NA,NA,NA
27520,-49.09114,-27.02897,NA,dis_46,distincta,SC,"Poça ao lado do cemitério, Nova Rússia",celio,13176,Blumenau,NA,NA,NA,NA
27521,-49.09114,-27.02897,NA,dis_47,distincta,SC,"Poça ao lado do cemitério, Nova Rússia",celio,13177,Blumenau,NA,NA,NA,NA
33712,-48.54841667,-27.16025,NA,dis_48,distincta,SC,Estrada da Pousada Morro do Sul,celio,16574,Porto Belo,NA,NA,NA,NA
33713,-48.54841667,-27.16025,NA,dis_49,distincta,SC,Estrada da Pousada Morro do Sul,celio,16583,Porto Belo,NA,NA,NA,NA
33715,-48.50696667,-27.45851667,NA,dis_50,distincta,SC,"Estrada dentro do terreno da Habitasul, estrada velha, entre Jurerê Internacional e Praia da Daniela",celio,16585,Florianópolis,NA,NA,NA,NA
33716,-48.50696667,-27.45851667,NA,dis_51,distincta,SC,"Estrada dentro do terreno da Habitasul, estrada velha, entre Jurerê Internacional e Praia da Daniela",celio,16586,Florianópolis,NA,NA,NA,NA
33717,-48.50696667,-27.45851667,NA,dis_52,distincta,SC,"Estrada dentro do terreno da Habitasul, estrada velha, entre Jurerê Internacional e Praia da Daniela",celio,16587,Florianópolis,NA,NA,NA,NA
33718,-48.50696667,-27.45851667,NA,dis_53,distincta,SC,"Estrada dentro do terreno da Habitasul, estrada velha, entre Jurerê Internacional e Praia da Daniela",celio,16588,Florianópolis,NA,NA,NA,NA
33719,-48.50696667,-27.45851667,NA,dis_54,distincta,SC,"Estrada dentro do terreno da Habitasul, estrada velha, entre Jurerê Internacional e Praia da Daniela",celio,16589,Florianópolis,NA,NA,NA,NA
33720,-48.50696667,-27.45851667,NA,dis_55,distincta,SC,"Estrada dentro do terreno da Habitasul, estrada velha, entre Jurerê Internacional e Praia da Daniela",celio,16590,Florianópolis,NA,NA,NA,NA
33721,-48.50696667,-27.45851667,NA,dis_56,distincta,SC,"Estrada dentro do terreno da Habitasul, estrada velha, entre Jurerê Internacional e Praia da Daniela",celio,16591,Florianópolis,NA,NA,NA,NA
33722,-48.50696667,-27.45851667,NA,dis_57,distincta,SC,"Estrada dentro do terreno da Habitasul, estrada velha, entre Jurerê Internacional e Praia da Daniela",celio,16592,Florianópolis,NA,NA,NA,NA
33723,-48.50696667,-27.45851667,NA,dis_58,distincta,SC,"Estrada dentro do terreno da Habitasul, estrada velha, entre Jurerê Internacional e Praia da Daniela",celio,16593,Florianópolis,NA,NA,NA,NA
33724,-48.50696667,-27.45851667,NA,dis_59,distincta,SC,"Estrada dentro do terreno da Habitasul, estrada velha, entre Jurerê Internacional e Praia da Daniela",celio,16594,Florianópolis,NA,NA,NA,NA
33725,-48.50696667,-27.45851667,NA,dis_60,distincta,SC,"Estrada dentro do terreno da Habitasul, estrada velha, entre Jurerê Internacional e Praia da Daniela",celio,16595,Florianópolis,NA,NA,NA,NA
33738,-49.00493333,-27.58853333,NA,dis_61,distincta,SC,Estrada de terra entre Rancho Queimado e Angelina,celio,16608,Rancho Queimado,NA,NA,NA,NA
33739,-49.00493333,-27.58853333,NA,dis_62,distincta,SC,Estrada de terra entre Rancho Queimado e Angelina,celio,16609,Rancho Queimado,NA,NA,NA,NA
33740,-49.00493333,-27.58853333,NA,dis_63,distincta,SC,Estrada de terra entre Rancho Queimado e Angelina,celio,16610,Rancho Queimado,NA,NA,NA,NA
