species,longitude,latitude,individual_id,anc_pop_id
distincta,-48.69186,-26.72425,dis_112,2
distincta,-48.69186,-26.72425,dis_113,2
distincta,-48.7119,-25.4286,dis_114,1
distincta,-48.7119,-25.4286,dis_115,1
distincta,-49.2431,-26.4253,dis_116,2
distincta,-49.2431,-26.4253,dis_117,2
distincta,-49.2431,-26.4253,dis_118,2
distincta,-47.8811,-24.715,dis_119,1
distincta,-49.46888,-28.46893,dis_120,2
distincta,-49.46888,-28.46893,dis_121,2
distincta,-49.45819,-28.49187,dis_122,2
distincta,-49.45819,-28.49187,dis_123,2
distincta,-47.5553,-24.7081,dis_124,1
distincta,-47.5553,-24.7081,dis_125,1
distincta,-47.5553,-24.7081,dis_126,1
distincta,-47.5553,-24.7081,dis_127,1
distincta,-47.5553,-24.7081,dis_128,1
distincta,-47.5553,-24.7081,dis_129,1
distincta,-47.5553,-24.7081,dis_130,1
distincta,-47.5553,-24.7081,dis_131,1
distincta,-50.7411,-23.7275,dis_132,1
distincta,-50.7411,-23.7275,dis_133,1
distincta,-50.7411,-23.7275,dis_134,1
distincta,-48.6126,-25.903,dis_135,1
distincta,-46.6991,-23.9787,dis_136,1
distincta,-48.42333,-24.195,dis_137,1
distincta,-48.42333,-24.195,dis_138,1
distincta,-48.42333,-24.195,dis_139,1
distincta,-49.01936,-24.83742,CMF19_017,1
distincta,-49.01936,-24.83742,CMF19_018,1
distincta,-49.01936,-24.83742,CMF19_019,1
distincta,-49.01936,-24.83742,CMF19_020,1
distincta,-49.01936,-24.83742,CMF19_021,1
distincta,-49.59948,-25.23768,CMF19_011,1
distincta,-49.59948,-25.23768,CMF19_012,1
distincta,-49.59948,-25.23768,CMF19_013,1
distincta,-49.59948,-25.23768,CMF19_014,1
distincta,-49.59948,-25.23768,CMF19_015,1
distincta,-49.59948,-25.23768,CMF19_016,1
